# ACE HUD - hudColors.dat
# This file contains RGB colour values for each HUD component
# -------------------------------------------------
# DEFAULT COLORS
# These colors are used internally by game
# -------------------------------------------------
# COLOR_ID				R	G	B
COLOR_0					180	25	29
COLOR_1					54	104	44
COLOR_2					50	60	127
COLOR_3					172	203	241
COLOR_4					225	225	225
COLOR_5					0	0	0
COLOR_6					144	98	16
COLOR_7					168	110	252
COLOR_8					150	150	150
COLOR_9					104	15	17
COLOR_10				38	71	31
COLOR_11				226	192	99
COLOR_12				74	90	107
COLOR_13				20	25	200
COLOR_14				255	255	0

# -------------------------------------------------
# METER COLORS
# These colors are for ACE's meters and counters
# -------------------------------------------------
# COLOR_NAME				R	G	B
COLOR_HEALTH				237	28	36	255
COLOR_HEALTH_BACK			118	14	18	255
COLOR_HEALTH_BORDER			0	0	0	255
COLOR_HEALTH_COUNT			225	225	225	255	
COLOR_HEALTH_COUNT_OUTLINE		0	0	0	255
COLOR_ARMOUR				225	225	225	255
COLOR_ARMOUR_BACK			112	112	112	255
COLOR_ARMOUR_BORDER			0	0	0	255
COLOR_ARMOUR_COUNT			225	225	225	255	
COLOR_ARMOUR_COUNT_OUTLINE		0	0	0	255
COLOR_BREATH				172	203	241	255
COLOR_BREATH_BACK			86	101	120	255
COLOR_BREATH_BORDER			0	0	0	255
COLOR_BREATH_COUNT			225	225	225	255	
COLOR_BREATH_COUNT_OUTLINE		0	0	0	255
COLOR_SPECIAL				226	192	99	255
COLOR_SPECIAL_BACK			113	96	49	255
COLOR_SPECIAL_BORDER			0	0	0	255
COLOR_SPECIAL_COUNT			225	225	225	255	
COLOR_SPECIAL_COUNT_OUTLINE		0	0	0	255
COLOR_VEHICLE_HP				54	104	44	255
COLOR_VEHICLE_HP_BACK			27	52	22	255
COLOR_VEHICLE_HP_BORDER			0	0	0	255
COLOR_VEHICLE_HP_COUNT			225	225	225	255	
COLOR_VEHICLE_HP_COUNT_OUTLINE		0	0	0	255
COLOR_TARGET_HP				225	225	225	255
COLOR_TARGET_HP_BACK			60	60	60	255
COLOR_TARGET_HP_BORDER			0	0	0	255
COLOR_TARGET_HP_COUNT			225	225	225	255	
COLOR_TARGET_HP_COUNT_OUTLINE		0	0	0	255
# -------------------------------------------------
# TEXT COLORS
# These colors are for ACE's text-based elements
# -------------------------------------------------
COLOR_WANTED_STARS			144	98	16	255
COLOR_WANTED_STARS_BACK			0	0	0	165
COLOR_WANTED_STARS_OUTLINE		0	0	0	255
COLOR_MONEY				54	104	44	255		
COLOR_MONEY_DEBT			237	28	36	255
COLOR_MONEY_OUTLINE			0	0	0	255
COLOR_MONEY_GAIN			54	104	44	255
COLOR_MONEY_GAIN_LOSS			237	28	36	255
COLOR_MONEY_GAIN_OUTLINE		0	0	0	255
COLOR_CLOCK				225	225	225	255
COLOR_CLOCK_OUTLINE			0	0	0	255
COLOR_AREA_NAME			225	225	225	255
COLOR_AREA_NAME_OUTLINE			0	0	0	255
COLOR_VEHICLE_NAME			54	104	44	255
COLOR_VEHICLE_NAME_OUTLINE		0	0	0	255
COLOR_VEHICLE_SPEED			225	225	225	255
COLOR_VEHICLE_SPEED_OUTLINE		0	0	0	255
COLOR_WEAPON_ICON			255	255	255	255
COLOR_AMMO_COUNTER			225	225	225	255
COLOR_AMMO_COUNTER_OUTLINE		0	0	0	255
COLOR_CLIP_COUNTER			130	130	130	255
COLOR_CLIP_COUNTER_OUTLINE		0	0	0	255
# -------------------------------------------------
# BOX COLORS
# These colors are for ACE's custom boxes
# -------------------------------------------------
# COLOR_NAME				R	G	B	A
COLOR_BOX_1				0	0	0	128
COLOR_BOX_2				0	0	0	128
COLOR_BOX_3				0	0	0	128
COLOR_BOX_4				0	0	0	128
COLOR_BOX_5				0	0	0	128
COLOR_BOX_6				0	0	0	128
COLOR_BOX_7				0	0	0	128
COLOR_BOX_8				0	0	0	128
# -------------------------------------------------
# TEXT COLORS
# These colors are for ACE's custom texts
# -------------------------------------------------
# COLOR_NAME				R	G	B
COLOR_TEXT_1				225	225	225	255
COLOR_TEXT_1_OUTLINE			0	0	0	255
COLOR_TEXT_2				225	225	225	255
COLOR_TEXT_2_OUTLINE			0	0	0	255
COLOR_TEXT_3				225	225	225	255
COLOR_TEXT_3_OUTLINE			0	0	0	255
COLOR_TEXT_4				225	225	225	255
COLOR_TEXT_4_OUTLINE			0	0	0	255
COLOR_TEXT_5				225	225	225	255
COLOR_TEXT_5_OUTLINE			0	0	0	255
COLOR_TEXT_6				225	225	225	255
COLOR_TEXT_6_OUTLINE			0	0	0	255
COLOR_TEXT_7				225	225	225	255
COLOR_TEXT_7_OUTLINE			0	0	0	255
COLOR_TEXT_8				225	225	225	255
COLOR_TEXT_8_OUTLINE			0	0	0	255
# -------------------------------------------------
# IMAGE COLORS
# These colors are for ACE's custom images
# -------------------------------------------------
# COLOR_NAME				R	G	B	A
COLOR_IMAGE_1				255	255	255	255
COLOR_IMAGE_2				255	255	255	255
COLOR_IMAGE_3				255	255	255	255
COLOR_IMAGE_4				255	255	255	255
COLOR_IMAGE_5				255	255	255	255
COLOR_IMAGE_6				255	255	255	255
COLOR_IMAGE_7				255	255	255	255
COLOR_IMAGE_8				255	255	255	255

# -------------------------------------------------
